,ROI_label,Run Length::Short run emphasis Means,Run Length::Short run emphasis Std.,Run Length::Short run emphasis Comb.,Run Length::Long run emphasis Means,Run Length::Long run emphasis Std.,Run Length::Long run emphasis Comb.,Run Length::Grey level nonuniformity Means,Run Length::Grey level nonuniformity Std.,Run Length::Grey level nonuniformity Comb.,Run Length::Grey level nonuniformity normalized Means,Run Length::Grey level nonuniformity normalized Std.,Run Length::Grey level nonuniformity normalized Comb.,Run Length::Run length nonuniformity Means,Run Length::Run length nonuniformity Std.,Run Length::Run length nonuniformity Comb.,Run Length::Run length nonuniformity normalized Means,Run Length::Run length nonuniformity normalized Std.,Run Length::Run length nonuniformity normalized Comb.,Run Length::Low grey level run emphasis Means,Run Length::Low grey level run emphasis Std.,Run Length::Low grey level run emphasis Comb.,Run Length::High grey level run emphasis Means,Run Length::High grey level run emphasis Std.,Run Length::High grey level run emphasis Comb.,Run Length::Short run low grey level emphasis Means,Run Length::Short run low grey level emphasis  Std.,Run Length::Short run low grey level emphasis  Comb.,Run Length::Short run high grey level emphasis Means,Run Length::Short run high grey level emphasis Std.,Run Length::Short run high grey level emphasis Comb.,Run Length::Long run low grey level emphasis Means,Run Length::Long run low grey level emphasis Std.,Run Length::Long run low grey level emphasis Comb.,Run Length::Long run high grey level emphasis Means,Run Length::Long run high grey level emphasis Std.,Run Length::Long run high grey level emphasis Comb.,Run Length::Run percentage Means,Run Length::Run percentage Std.,Run Length::Run percentage Comb.,Run Length::Number of runs Means,Run Length::Number of runs Std.,Run Length::Number of runs Comb.,Run Length::Grey level variance Means,Run Length::Grey level variance Std.,Run Length::Grey level variance Comb.,Run Length::Run length variance Means,Run Length::Run length variance Std.,Run Length::Run length variance Comb.,Run Length::Run length entropy Means,Run Length::Run length entropy Std.,Run Length::Run length entropy Comb.
0,22,0.99,0.02,0.99,1.04,0.08,1.04,3.03,0.1,39.21,0.01,0.0,0.01,268.87,15.87,3492.77,0.98,0.04,0.98,0.0,0.0,0.0,22093.88,177.56,22090.44,0.0,0.0,0.0,21956.32,150.49,21958.26,0.0,0.0,0.0,22724.85,1280.01,22697.41,0.99,0.02,0.99,274.62,5.99,3570.0,2402.43,22.04,2403.37,0.02,0.03,0.02,6.81,0.05,6.86
0,23,0.99,0.01,0.99,1.03,0.04,1.02,2.69,0.06,34.89,0.01,0.0,0.01,227.72,8.69,2959.34,0.98,0.03,0.98,0.0,0.0,0.0,26339.73,121.39,26338.25,0.0,0.0,0.0,26235.85,100.14,26236.61,0.0,0.0,0.0,26782.61,838.02,26771.73,0.99,0.01,0.99,231.15,3.01,3005.0,2135.55,2.99,2135.69,0.01,0.01,0.01,6.66,0.04,6.7
0,24,0.99,0.01,0.99,1.03,0.07,1.03,1.98,0.05,25.63,0.01,0.0,0.01,150.93,7.46,1961.25,0.98,0.03,0.98,0.0,0.0,0.0,24952.82,158.58,24951.29,0.0,0.0,0.0,24801.75,294.44,24804.9,0.0,0.0,0.0,25727.85,1502.34,25700.19,0.99,0.02,0.99,153.46,2.87,1995.0,2300.93,27.33,2301.41,0.01,0.03,0.01,6.46,0.02,6.51
0,25,1.0,0.0,1.0,1.0,0.01,1.0,1.41,0.01,18.32,0.02,0.0,0.02,67.77,0.79,881.0,1.0,0.01,1.0,0.0,0.0,0.0,34482.66,14.07,34482.71,0.0,0.0,0.0,34449.92,127.5,34450.42,0.0,0.0,0.0,34613.63,439.62,34611.9,1.0,0.0,1.0,67.92,0.27,883.0,1036.4,3.53,1036.39,0.0,0.0,0.0,5.69,0.0,5.7
0,26,0.98,0.03,0.98,1.38,0.61,1.33,7.04,3.16,83.08,0.05,0.02,0.05,133.48,20.45,1732.03,0.95,0.07,0.96,0.0,0.0,0.0,32844.73,2761.79,33080.0,0.0,0.0,0.0,31561.21,4669.53,31957.55,0.0,0.0,0.0,57024.68,36242.92,54011.41,0.95,0.08,0.95,139.15,11.92,1809.0,4384.29,333.71,4462.36,0.23,0.39,0.21,5.82,0.35,5.92
0,27,0.99,0.01,0.99,1.03,0.04,1.03,3.02,0.06,39.09,0.01,0.0,0.01,267.95,9.71,3482.37,0.99,0.02,0.99,0.0,0.0,0.0,17944.56,75.12,17943.88,0.0,0.0,0.0,17861.72,126.47,17862.72,0.0,0.0,0.0,18292.31,614.5,18284.56,0.99,0.01,0.99,271.85,3.46,3534.0,2025.61,9.91,2025.71,0.01,0.02,0.01,6.77,0.03,6.8
0,28,0.99,0.01,0.99,1.02,0.04,1.02,1.89,0.04,24.43,0.01,0.0,0.01,134.29,5.08,1745.16,0.99,0.03,0.99,0.0,0.0,0.0,23576.53,109.66,23575.42,0.0,0.0,0.0,23485.2,138.54,23486.19,0.0,0.0,0.0,23941.85,757.33,23932.36,0.99,0.01,0.99,136.08,1.73,1769.0,2059.56,16.64,2059.56,0.01,0.01,0.01,6.36,0.02,6.39
0,29,0.99,0.02,0.99,1.05,0.11,1.05,2.02,0.12,26.04,0.02,0.0,0.02,78.96,6.08,1025.28,0.98,0.05,0.98,0.0,0.0,0.0,28350.55,97.31,28350.58,0.0,0.0,0.0,28040.18,604.6,28057.45,0.0,0.0,0.0,29906.11,3291.66,29806.71,0.99,0.03,0.99,80.85,2.44,1051.0,1932.48,18.28,1933.04,0.02,0.04,0.02,5.59,0.07,5.65
0,30,1.0,0.01,1.0,1.01,0.03,1.01,3.05,0.03,39.54,0.01,0.0,0.01,282.36,7.4,3670.14,0.99,0.02,0.99,0.0,0.0,0.0,27131.78,50.14,27132.11,0.0,0.0,0.0,27024.88,256.61,27027.09,0.0,0.0,0.0,27559.37,815.42,27552.19,1.0,0.01,1.0,284.77,2.52,3702.0,2025.52,12.99,2025.45,0.0,0.01,0.0,6.81,0.02,6.83
0,31,1.0,0.01,1.0,1.02,0.03,1.02,2.37,0.03,30.69,0.01,0.0,0.01,229.91,6.97,2988.21,0.99,0.02,0.99,0.0,0.0,0.0,22940.45,66.27,22940.44,0.0,0.0,0.0,22847.63,212.77,22849.44,0.0,0.0,0.0,23311.71,728.67,23304.42,0.99,0.01,0.99,232.62,2.37,3024.0,2168.87,9.81,2168.9,0.01,0.01,0.01,6.82,0.02,6.85
