,cp,imea,matlab,mitk,nist,pyr,radj,wc,altname
119,-1.0,-1.0,-1.0,-0.1756,-1.0,-1.0,0.1213,-1.0,LGLZE
120,-1.0,-1.0,-1.0,0.173,-1.0,-1.0,0.1417,-1.0,HGHZE
121,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.0491,-1.0,SDLGLE
122,-1.0,-1.0,-1.0,0.387,-1.0,-1.0,0.2772,-1.0,SDHGLE
123,-1.0,-1.0,-1.0,-0.1064,-1.0,-1.0,-0.009,-1.0,LDLGLE
124,-1.0,-1.0,-1.0,0.4454,-1.0,-1.0,0.0605,-1.0,LDHGLE
125,-1.0,-1.0,-1.0,0.5711,-1.0,-1.0,0.1176,-1.0,GLNU
126,-1.0,-1.0,-1.0,0.9451,-1.0,-1.0,-0.1839,-1.0,GLNUN
127,-1.0,-1.0,-1.0,0.9241,-1.0,-1.0,-0.1262,-1.0,ZDNU
128,-1.0,-1.0,-1.0,0.5044,-1.0,-1.0,0.1491,-1.0,ZDNUN
129,-1.0,-1.0,-1.0,0.7032,-1.0,-1.0,-0.1419,-1.0,ZP
130,-1.0,-1.0,-1.0,0.176,-1.0,-1.0,-1.0,-1.0,GLM
131,-1.0,-1.0,-1.0,0.6805,-1.0,-1.0,-0.0073,-1.0,GLV
132,-1.0,-1.0,-1.0,0.6362,-1.0,-1.0,-1.0,-1.0,ZDM
133,-1.0,-1.0,-1.0,0.7442,-1.0,-1.0,0.2178,-1.0,ZDV
134,-1.0,-1.0,-1.0,0.9917,-1.0,-1.0,0.041,-1.0,ZDE
135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$GLSZM
136,-1.0,-1.0,-1.0,-1.0,-1.0,0.8516,-0.137,-1.0,SAE
137,-1.0,-1.0,-1.0,-1.0,-1.0,0.8865,-0.125,-1.0,LAE
138,-1.0,-1.0,-1.0,-1.0,-1.0,0.9959,0.116,-1.0,GLNU
139,-1.0,-1.0,-1.0,-1.0,-1.0,0.9983,-0.1827,-1.0,GLNUN
140,-1.0,-1.0,-1.0,-1.0,-1.0,0.9916,0.0485,-1.0,SZNU
141,-1.0,-1.0,-1.0,-1.0,-1.0,0.8437,-0.1545,-1.0,SZNUN
142,-1.0,-1.0,-1.0,-1.0,-1.0,0.8992,-0.2112,-1.0,ZP
143,-1.0,-1.0,-1.0,-1.0,-1.0,0.9984,-0.0038,-1.0,GLV
144,-1.0,-1.0,-1.0,-1.0,-1.0,0.9352,-0.0724,-1.0,ZV
145,-1.0,-1.0,-1.0,-1.0,-1.0,0.9972,0.0059,-1.0,ZE
146,-1.0,-1.0,-1.0,-1.0,-1.0,0.469,0.1228,-1.0,LGLZE
147,-1.0,-1.0,-1.0,-1.0,-1.0,0.8081,0.144,-1.0,HGLZE
148,-1.0,-1.0,-1.0,-1.0,-1.0,0.4657,0.0429,-1.0,SALGLE
149,-1.0,-1.0,-1.0,-1.0,-1.0,0.8119,0.1601,-1.0,SAHGLE
150,-1.0,-1.0,-1.0,-1.0,-1.0,0.1791,0.0257,-1.0,LALGLE
151,-1.0,-1.0,-1.0,-1.0,-1.0,0.9361,-0.0501,-1.0,LAHGLE
152,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$GLDM
153,-1.0,-1.0,-1.0,-1.0,-1.0,0.8834,-1.0,-1.0,SDE
154,-1.0,-1.0,-1.0,-1.0,-1.0,0.9129,-1.0,-1.0,LDE
155,-1.0,-1.0,-1.0,-1.0,-1.0,0.9296,-1.0,-1.0,GLNU
156,-1.0,-1.0,-1.0,-1.0,-1.0,0.9872,-1.0,-1.0,DNU
157,-1.0,-1.0,-1.0,-1.0,-1.0,0.8594,-1.0,-1.0,DNUN
158,-1.0,-1.0,-1.0,-1.0,-1.0,0.9944,-1.0,-1.0,GLV
159,-1.0,-1.0,-1.0,-1.0,-1.0,0.932,-1.0,-1.0,DV
160,-1.0,-1.0,-1.0,-1.0,-1.0,0.997,-1.0,-1.0,DE
