,cp,imea,matlab,mitk,nist,pyr,radj,wc,altname
165,-1.0,-1.0,-1.0,-1.0,-1.0,0.2423,-1.0,-1.0,LDLGLE
166,-1.0,-1.0,-1.0,-1.0,-1.0,0.9997,-1.0,-1.0,LDHGLE
167,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$NGLDM
168,-1.0,-1.0,-1.0,-0.4704,-1.0,-1.0,0.1665,-1.0,LDE
169,-1.0,-1.0,-1.0,-0.0423,-1.0,-1.0,-0.1284,-1.0,HDE
170,-1.0,-1.0,-1.0,-0.2068,-1.0,-1.0,0.0746,-1.0,LGLCE
171,-1.0,-1.0,-1.0,0.5453,-1.0,-1.0,-0.0125,-1.0,HGLCE
172,-1.0,-1.0,-1.0,-0.0675,-1.0,-1.0,0.0586,-1.0,LDLGLE
173,-1.0,-1.0,-1.0,0.3703,-1.0,-1.0,0.0181,-1.0,LDHGLE
174,-1.0,-1.0,-1.0,0.127,-1.0,-1.0,0.0164,-1.0,HDLGLE
175,-1.0,-1.0,-1.0,0.9556,-1.0,-1.0,-0.0581,-1.0,HDHGLE
176,-1.0,-1.0,-1.0,0.3755,-1.0,-1.0,-0.0856,-1.0,GLNU
177,-1.0,-1.0,-1.0,-0.0914,-1.0,-1.0,0.1103,-1.0,GLNUN
178,-1.0,-1.0,-1.0,0.4705,-1.0,-1.0,-0.0858,-1.0,DCNU
179,-1.0,-1.0,-1.0,-0.0327,-1.0,-1.0,0.0871,-1.0,DCNUN
180,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,DCP
181,-1.0,-1.0,-1.0,0.4887,-1.0,-1.0,-1.0,-1.0,GLM
182,-1.0,-1.0,-1.0,0.655,-1.0,-1.0,-0.014,-1.0,GLV
183,-1.0,-1.0,-1.0,0.064,-1.0,-1.0,-1.0,-1.0,DCM
184,-1.0,-1.0,-1.0,-0.0726,-1.0,-1.0,-0.0941,-1.0,DCV
185,-1.0,-1.0,-1.0,0.421,-1.0,-1.0,-0.0697,-1.0,DCENT
186,-1.0,-1.0,-1.0,0.1528,-1.0,-1.0,0.1802,-1.0,DCE
187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!text=$\blacktriangledown$NGTDM
188,-1.0,-1.0,-1.0,0.7386,-1.0,0.9901,0.0149,-1.0,COAR
189,-1.0,-1.0,-1.0,0.9605,-1.0,0.9988,-0.047,-1.0,CONTR
190,-1.0,-1.0,-1.0,0.8383,-1.0,0.9983,0.0984,-1.0,BUSYN
191,-1.0,-1.0,-1.0,0.7299,-1.0,0.901,-0.1046,-1.0,COMPL
192,-1.0,-1.0,-1.0,0.7725,-1.0,0.9951,0.1624,-1.0,STREN
193,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!image=banner_intensity.png
194,-1.0,-1.0,-1.0,0.9987,-1.0,-1.0,0.0682,-1.0,CVAR
195,-1.0,-1.0,-1.0,0.8137,-1.0,-1.0,-1.0,-1.0,CIIR
196,0.426,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,IIE
197,0.6893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,EImax
198,0.7712,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,EImean
199,0.9185,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,EImin
200,0.7393,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,EIstd
201,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0756,1.0,ENER
202,-1.0,-1.0,0.7918,0.7754,0.7572,0.5334,-1.0,0.4935,entro
203,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,kurt
204,-1.0,-1.0,-1.0,-1.0,0.9996,-1.0,-1.0,-1.0,hflat
205,-1.0,-1.0,-1.0,-1.0,0.9997,-1.0,-1.0,-1.0,hskew
206,0.6565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,II
207,-1.0,-1.0,0.9994,0.9996,-1.0,0.9993,-0.0692,0.9995,IQR
208,-1.0,-1.0,0.9873,1.0,1.0,1.0,0.0914,1.0,kurt
209,-1.0,-1.0,0.999,1.0,-1.0,1.0,-0.0438,1.0,MAD
210,0.6259,-1.0,1.0,1.0,-1.0,1.0,0.0921,1.0,max
211,0.7347,-1.0,0.9998,1.0,1.0,1.0,0.1303,1.0,mean
212,0.7454,-1.0,0.9999,0.9959,1.0,1.0,0.1207,1.0,med
213,0.7744,-1.0,-1.0,0.9997,-1.0,-1.0,-0.0471,-1.0,med AD
214,0.7903,-1.0,0.9032,1.0,-1.0,1.0,0.2868,1.0,min
215,-1.0,-1.0,0.9173,0.8646,1.0,-1.0,-1.0,1.0,mode
216,-1.0,-1.0,0.8708,-1.0,-1.0,-1.0,-1.0,-1.0,p1
217,-1.0,-1.0,0.998,0.9998,-1.0,0.997,0.2228,0.9997,p10
218,0.6966,-1.0,0.9998,0.9998,-1.0,-1.0,-1.0,0.9998,p25
219,0.7479,-1.0,0.9999,1.0,-1.0,-1.0,-1.0,0.9999,p75
220,-1.0,-1.0,0.9999,1.0,-1.0,0.9996,0.0639,1.0,p90
221,-1.0,-1.0,0.9997,-1.0,-1.0,-1.0,-1.0,-1.0,p99
222,-1.0,-1.0,-1.0,0.9968,-1.0,-1.0,-0.1164,-1.0,QCoD
223,-1.0,-1.0,0.9904,1.0,-1.0,1.0,0.0835,1.0,range
224,-1.0,-1.0,-1.0,0.6375,-1.0,0.6629,-0.1007,0.6467,RMAD
225,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,Rmean
226,-1.0,-1.0,-0.0,1.0,-1.0,1.0,0.1132,1.0,RMS
227,-1.0,-1.0,0.9985,-1.0,-1.0,-1.0,0.0706,-1.0,SE
228,-1.0,-1.0,0.9888,0.9999,1.0,1.0,0.1191,1.0,skew
229,0.7384,-1.0,0.9971,1.0,1.0,-1.0,-0.019,1.0,STD
230,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,STDB
231,-1.0,-1.0,-1.0,-0.2594,-1.0,-0.3239,-1.0,-0.3484,uni
232,-1.0,-1.0,0.9946,1.0,-1.0,1.0,-0.0368,-1.0,var
233,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,varB
234,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,!image=banner_shape.png
235,0.4735,1.0,1.0,-1.0,1.0,1.0,0.0436,1.0,area
236,-1.0,0.8282,1.0,-1.0,1.0,-1.0,-1.0,1.0,BB h
237,-1.0,0.9152,1.0,-1.0,1.0,-1.0,-1.0,1.0,BB w
238,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,BB x
239,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,BB y
240,0.8777,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,cx
241,0.9995,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,cy
242,0.4427,-1.0,-1.0,-1.0,0.8458,-1.0,0.0619,0.8368,circ/ff
243,0.1398,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,comp
244,0.032,0.0934,0.0924,-1.0,-1.0,-1.0,-1.0,0.0958,CH area
245,-1.0,0.9841,-1.0,-1.0,-1.0,-1.0,-1.0,0.9841,D min encl cir
246,-1.0,0.4194,-1.0,-1.0,-1.0,-1.0,-1.0,0.423,D circum cir
